# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 180  of event 'cpu_core/cache-misses/'
# Event count (approx.): 455329
#
# Overhead,Command        ,Shared Object       ,Symbol                              
 3.68%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __memcg_slab_post_alloc_hook
 3.47%  ,bc             ,[kernel.kallsyms]   ,[k] copy_mc_enhanced_fast_string
 2.56%  ,matrix_avx_app ,ld-linux-x86-64.so.2,[.] _dl_fini
 2.44%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] zap_pte_range
 2.37%  ,bc             ,[kernel.kallsyms]   ,[k] copy_page
 2.23%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] copy_mc_enhanced_fast_string
 2.21%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] leftmatch_fb
 2.10%  ,bc             ,ld-linux-x86-64.so.2,[.] _dl_relocate_object
 2.06%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __slab_free
 1.96%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] __pte_offset_map_lock
 1.95%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] refill_obj_stock
 1.94%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] kmalloc_trace
 1.80%  ,run_benchmark.s,libc.so.6           ,[.] __GI___iswalnum
 1.79%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] hsw_hw_config
 1.79%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] perf_event_enable_on_exec
 1.79%  ,run_benchmark.s,bash                ,[.] mbschr
 1.72%  ,matrix_avx_app ,ld-linux-x86-64.so.2,[.] _dl_lookup_symbol_x
 1.64%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] free_unref_page_prepare
 1.62%  ,bc             ,[kernel.kallsyms]   ,[k] mprotect_fixup
 1.59%  ,bc             ,[kernel.kallsyms]   ,[k] pick_link
 1.59%  ,bc             ,[kernel.kallsyms]   ,[k] p4d_offset
 1.59%  ,bc             ,ld-linux-x86-64.so.2,[.] init_cpu_features.constprop.0
 1.59%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] aa_dfa_leftmatch
 1.58%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] __count_memcg_events
 1.46%  ,bc             ,libc.so.6           ,[.] _init_first
 1.39%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] current_obj_cgroup
 1.39%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] mutex_lock_killable
 1.33%  ,matrix_avx_app ,matrix_avx_app      ,[.] gemm_avx
 1.33%  ,bc             ,[kernel.kallsyms]   ,[k] mas_next_node
 1.26%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] generic_file_open
 1.24%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] perf_event_alloc
 1.23%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] rcu_core
 1.21%  ,bc             ,[kernel.kallsyms]   ,[k] __put_seccomp_filter
 1.19%  ,bc             ,bc                  ,[.] 0x000000000000b523
 1.16%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] rmqueue
 1.00%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __count_memcg_events
 1.00%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] kmem_cache_alloc
 0.96%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __hrtimer_run_queues
 0.93%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] copy_present_pte
 0.82%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __mem_cgroup_charge
 0.75%  ,run_benchmark.s,bash                ,[.] 0x0000000000065ff0
 0.75%  ,bc             ,[kernel.kallsyms]   ,[k] __fdget_raw
 0.75%  ,bc             ,[kernel.kallsyms]   ,[k] vma_interval_tree_insert
 0.74%  ,matrix_avx_app ,ld-linux-x86-64.so.2,[.] _dl_relocate_object
 0.74%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] audit_alloc
 0.74%  ,bc             ,[kernel.kallsyms]   ,[k] __rcu_read_lock
 0.72%  ,bc             ,[kernel.kallsyms]   ,[k] truncate_inode_pages_range
 0.72%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] free_pud_range
 0.71%  ,bc             ,ld-linux-x86-64.so.2,[.] _dl_lookup_symbol_x
 0.70%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] exit_task_namespaces
 0.70%  ,bc             ,[kernel.kallsyms]   ,[k] do_read_fault
 0.68%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] blk_cgroup_congested
 0.67%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] get_partial_node.part.0
 0.66%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] file_close_fd_locked
 0.66%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] put_cpu_partial
 0.64%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] inode_init_always
 0.62%  ,run_benchmark.s,bash                ,[.] builtin_address_internal
 0.61%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] check_xstate_in_sigframe
 0.61%  ,bc             ,ld-linux-x86-64.so.2,[.] _dl_cache_libcmp
 0.60%  ,run_benchmark.s,bash                ,[.] 0x0000000000115cf8
 0.59%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] copy_page_range
 0.57%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] signal_setup_done
 0.57%  ,run_benchmark.s,libc.so.6           ,[.] re_search_internal
 0.56%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __x64_sys_pipe2
 0.56%  ,run_benchmark.s,bash                ,[.] 0x000000000005782a
 0.56%  ,bc             ,ld-linux-x86-64.so.2,[.] _dl_new_object
 0.53%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] alloc_file
 0.46%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] find_attach
 0.45%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] kmem_cache_alloc
 0.43%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] pty_write_room
 0.43%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] cpuset_cpu_is_isolated
 0.43%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] free_unref_page_commit
 0.42%  ,run_benchmark.s,libc.so.6           ,[.] __libc_dynarray_resize
 0.41%  ,run_benchmark.s,bash                ,[.] 0x00000000000473b1
 0.41%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] dnotify_flush
 0.41%  ,bc             ,[kernel.kallsyms]   ,[k] __call_rcu_common
 0.40%  ,run_benchmark.s,bash                ,[.] command_substitute
 0.40%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __x64_sys_rt_sigaction
 0.39%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] kmem_cache_free
 0.39%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] _raw_spin_lock_irqsave
 0.38%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] get_page_from_freelist
 0.38%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] copy_page
 0.37%  ,run_benchmark.s,libc.so.6           ,[.] __libc_fork
 0.37%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] pte_mkwrite
 0.37%  ,run_benchmark.s,bash                ,[.] string_list_internal
 0.36%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] sched_mm_cid_before_execve
 0.34%  ,run_benchmark.s,bash                ,[.] execute_command_internal
 0.34%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] taskstats_exit
 0.32%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] release_pages
 0.32%  ,matrix_avx_app ,libc.so.6           ,[.] __printf_fp_buffer_1.isra.0
 0.32%  ,run_benchmark.s,bash                ,[.] do_redirections
 0.32%  ,run_benchmark.s,bash                ,[.] zread
 0.32%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] cgroup_rstat_updated
 0.30%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] unregister_hw_breakpoint
 0.30%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] select_task_rq_fair
 0.29%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] __raw_spin_lock_irqsave
 0.29%  ,matrix_avx_app ,libc.so.6           ,[.] __mpn_mul_1
 0.27%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] memcg_list_lru_alloc
 0.27%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] vma_complete
 0.25%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] __memcg_slab_post_alloc_hook
 0.24%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] get_pfnblock_flags_mask
 0.24%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] tty_buffer_space_avail
 0.19%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] mas_next_slot
 0.19%  ,run_benchmark.s,libc.so.6           ,[.] __strchr_avx2
 0.15%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] __mod_zone_page_state
 0.15%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] zap_pte_range
 0.10%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] collect_signal
 0.09%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __get_user_8
 0.09%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] folio_prep_large_rmappable
 0.09%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __rcu_read_unlock
 0.08%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] refill_obj_stock
 0.08%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] vm_normal_page
 0.07%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] wait_task_zombie
 0.07%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] filp_flush
 0.06%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] xas_load
 0.05%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] ___slab_alloc
 0.05%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] current_obj_cgroup
 0.04%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __pte_offset_map_lock
 0.03%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] down_write_killable
 0.03%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] read_tsc
 0.03%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] irq_work_tick
 0.03%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __alloc_pages
 0.03%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __pte_offset_map
 0.03%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] atime_needs_update
 0.03%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] mem_cgroup_handle_over_high
 0.03%  ,run_benchmark.s,bash                ,[.] 0x00000000000791eb
 0.03%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] native_queued_spin_lock_slowpath
 0.02%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] select_task_rq
 0.01%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] fd_install
 0.01%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] lockref_put_return
 0.01%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] sync_regs
 0.01%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __free_pages
 0.01%  ,run_benchmark.s,libc.so.6           ,[.] pthread_sigmask@GLIBC_2.2.5
 0.01%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] free_pipe_info
 0.01%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] wake_up_bit


# Samples: 229  of event 'cpu_core/L1-dcache-load-misses/'
# Event count (approx.): 6679971
#
# Overhead,Command        ,Shared Object       ,Symbol                            
 96.07% ,matrix_avx_app ,matrix_avx_app      ,[.] gemm_avx
 0.21%  ,bc             ,ld-linux-x86-64.so.2,[.] do_lookup_x
 0.17%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] __perf_addr_filters_adjust
 0.17%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] leftmatch_fb
 0.15%  ,bc             ,[kernel.kallsyms]   ,[k] perf_iterate_ctx
 0.15%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] perf_event_alloc
 0.14%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] zap_pte_range
 0.12%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] irq_enter_rcu
 0.09%  ,bc             ,[kernel.kallsyms]   ,[k] __d_lookup_rcu
 0.09%  ,bc             ,[kernel.kallsyms]   ,[k] sync_regs
 0.09%  ,bc             ,ld-linux-x86-64.so.2,[.] _dl_relocate_object
 0.09%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] update_cfs_group
 0.09%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] perf_adjust_freq_unthr_context
 0.09%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] uncharge_folio
 0.09%  ,bc             ,ld-linux-x86-64.so.2,[.] _dl_find_object_from_map
 0.08%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __count_memcg_events
 0.08%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] up_read
 0.08%  ,run_benchmark.s,bash                ,[.] zread
 0.08%  ,bc             ,[kernel.kallsyms]   ,[k] copy_mc_enhanced_fast_string
 0.08%  ,matrix_avx_app ,[kernel.kallsyms]   ,[k] filemap_map_pages
 0.08%  ,bc             ,[kernel.kallsyms]   ,[k] blk_cgroup_congested
 0.08%  ,bc             ,[kernel.kallsyms]   ,[k] perf_event_mmap_output
 0.08%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] perf_event_task_output
 0.08%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] copy_mc_enhanced_fast_string
 0.08%  ,bc             ,[kernel.kallsyms]   ,[k] __perf_addr_filters_adjust
 0.08%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __fsnotify_parent
 0.08%  ,matrix_avx_app ,libc.so.6           ,[.] __mempcpy_chk
 0.08%  ,bc             ,[kernel.kallsyms]   ,[k] mm_cid_get
 0.07%  ,bc             ,ld-linux-x86-64.so.2,[.] _dl_map_object_from_fd
 0.07%  ,bc             ,[kernel.kallsyms]   ,[k] security_inode_permission
 0.07%  ,bc             ,ld-linux-x86-64.so.2,[.] _dl_check_map_versions
 0.07%  ,bc             ,libc.so.6           ,[.] _init_first
 0.07%  ,bc             ,[kernel.kallsyms]   ,[k] filemap_map_pages
 0.07%  ,bc             ,[kernel.kallsyms]   ,[k] policy_nodemask
 0.07%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] copy_present_pte
 0.07%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] kmem_cache_alloc
 0.06%  ,bc             ,[kernel.kallsyms]   ,[k] free_swap_cache
 0.06%  ,run_benchmark.s,bash                ,[.] yyparse
 0.06%  ,bc             ,ld-linux-x86-64.so.2,[.] _dl_lookup_symbol_x
 0.06%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __handle_mm_fault
