# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 91  of event 'cpu_core/cache-misses/'
# Event count (approx.): 602453
#
# Overhead,Command        ,Shared Object       ,Symbol                             
 8.38%  ,run_benchmark.s,libc.so.6           ,[.] _IO_file_write@@GLIBC_2.2.5
 8.08%  ,run_benchmark.s,ld-linux-x86-64.so.2,[.] strcmp
 7.34%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] alloc_vmap_area
 5.61%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] copy_mc_enhanced_fast_string
 5.57%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] vfs_write
 5.47%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] pipe_read
 5.16%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] asm_exc_page_fault
 4.67%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] ext4_block_write_begin
 4.67%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] rb_insert_color
 4.52%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] next_uptodate_folio
 4.01%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] get_vma_policy
 3.79%  ,bc             ,[kernel.kallsyms]   ,[k] zap_pte_range
 3.60%  ,matrix_scalar_a,libc.so.6           ,[.] __GI___libc_cleanup_push_defer
 3.29%  ,matrix_scalar_a,libc.so.6           ,[.] __strlen_avx2
 2.64%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] zap_pte_range
 2.43%  ,run_benchmark.s,libc.so.6           ,[.] _int_malloc
 1.75%  ,matrix_scalar_a,ld-linux-x86-64.so.2,[.] _dl_fini
 1.69%  ,matrix_scalar_a,matrix_scalar_app   ,[.] gemm_scalar
 1.65%  ,matrix_scalar_a,[kernel.kallsyms]   ,[k] perf_adjust_freq_unthr_context
 1.63%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] __x64_sys_read
 1.57%  ,run_benchmark.s,[kernel.kallsyms]   ,[k] x64_setup_rt_frame
